gamification-muscle  | 2026/04/01 11:15:01 [b222619c2c5a/HJdwzLOOta-000021] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 6.849265ms
gamification-muscle  | 2026/04/01 11:15:13 [b222619c2c5a/HJdwzLOOta-000034] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 8.175767ms
gamification-muscle  | 2026/04/01 11:15:13 [b222619c2c5a/HJdwzLOOta-000035] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 9.006776ms
gamification-muscle  | 2026/04/01 11:15:13 [b222619c2c5a/HJdwzLOOta-000038] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 6.406409ms
gamification-muscle  | 2026/04/01 11:15:13 [b222619c2c5a/HJdwzLOOta-000037] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 7.438969ms
gamification-muscle  | 2026/04/01 11:15:14 [b222619c2c5a/HJdwzLOOta-000039] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 5.547948ms
gamification-muscle  | 2026/04/01 11:15:14 [b222619c2c5a/HJdwzLOOta-000040] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 5.43463ms
gamification-muscle  | 2026/04/01 11:15:16 [b222619c2c5a/HJdwzLOOta-000041] "GET http://localhost:3000/health HTTP/1.1" from [::1]:35314 - 200 166B in 1.604069ms
gamification-muscle  | 2026/04/01 11:15:25 [b222619c2c5a/HJdwzLOOta-000042] "GET http://localhost/api/v1/auth/me HTTP/1.0" from 172.22.0.1 - 200 196B in 186.191µs
gamification-muscle  | 2026/04/01 11:15:25 [b222619c2c5a/HJdwzLOOta-000045] "GET http://localhost/api/v1/analytics/activity?limit=10 HTTP/1.0" from 172.22.0.1 - 200 1622B in 2.304202ms
gamification-muscle  | 2026/04/01 11:15:25 [b222619c2c5a/HJdwzLOOta-000043] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 12.202857ms
gamification-muscle  | 2026/04/01 11:15:25 [b222619c2c5a/HJdwzLOOta-000044] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 14.519784ms
gamification-muscle  | 2026/04/01 11:15:29 [b222619c2c5a/HJdwzLOOta-000047] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 8.429584ms
gamification-muscle  | 2026/04/01 11:15:29 [b222619c2c5a/HJdwzLOOta-000046] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 33.217575ms
gamification-muscle  | 2026/04/01 11:15:46 [b222619c2c5a/HJdwzLOOta-000048] "GET http://localhost:3000/health HTTP/1.1" from [::1]:53670 - 200 166B in 1.989965ms
gamification-muscle  | 2026/04/01 11:15:46 [b222619c2c5a/HJdwzLOOta-000050] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 13.709822ms
gamification-muscle  | 2026/04/01 11:15:46 [b222619c2c5a/HJdwzLOOta-000049] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 21.584797ms
gamification-muscle  | 2026/04/01 11:15:47 [b222619c2c5a/HJdwzLOOta-000051] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 9.228772ms
gamification-muscle  | 2026/04/01 11:15:47 [b222619c2c5a/HJdwzLOOta-000052] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 12.371242ms
gamification-muscle  | 2026/04/01 11:15:56 [b222619c2c5a/HJdwzLOOta-000053] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 8.667862ms
gamification-muscle  | 2026/04/01 11:15:56 [b222619c2c5a/HJdwzLOOta-000054] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 13.227258ms
gamification-muscle  | 2026/04/01 11:15:57 [b222619c2c5a/HJdwzLOOta-000055] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 10.882226ms
gamification-muscle  | 2026/04/01 11:15:57 [b222619c2c5a/HJdwzLOOta-000056] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 15.265509ms
gamification-muscle  | 2026/04/01 11:16:16 [b222619c2c5a/HJdwzLOOta-000057] "GET http://localhost:3000/health HTTP/1.1" from [::1]:50834 - 200 166B in 1.930118ms
gamification-muscle  | 2026/04/01 11:16:46 [b222619c2c5a/HJdwzLOOta-000058] "GET http://localhost:3000/health HTTP/1.1" from [::1]:53144 - 200 166B in 2.006171ms
gamification-muscle  | 2026/04/01 11:17:16 [b222619c2c5a/HJdwzLOOta-000059] "GET http://localhost:3000/health HTTP/1.1" from [::1]:49382 - 200 166B in 1.786451ms
gamification-muscle  | 2026/04/01 11:17:46 [b222619c2c5a/HJdwzLOOta-000060] "GET http://localhost:3000/health HTTP/1.1" from [::1]:33340 - 200 166B in 2.048777ms
